id,term,positive_score,nagative_score
800,괴로움,0.00181,0.00039
801,괴롭다,0.00807,0.00864
802,괴롭히다,0.00332,0.00157
803,괴리,0.00166,0.00511
804,괴물,0.01447,0.0055
805,괴벨스,0.00128,0.00079
806,괴상,0.00038,0.00118
807,괴수,0.00256,0.00079
808,괴짜,0.00407,0.00118
809,괴테,0.00083,0.00039
810,굉장히,0.041,0.05262
811,교감,0.00354,0.00157
812,교과,0.02955,0.02513
813,교내,0.0006,0
814,교동,0.00053,0
815,교류,0.00219,0.00118
816,교묘히,0.00023,0.00157
817,교보,0.00264,0.00353
818,교본,0.00151,0.00079
819,교사,0.02518,0.011
820,교수,0.04251,0.04516
821,교실,0.00482,0.00118
822,교양,0.01884,0.02474
823,교열,0.0006,0.00314
824,교육,0.06731,0.04791
825,교장,0.00098,0.00079
826,교재,0.03904,0.02121
827,교전,0.0006,0.00039
828,교정,0.00505,0.01296
829,교제,0.00083,0.00039
830,교직,0.00098,0
831,교차,0.00445,0.00314
832,교체,0.00188,0.00393
833,교토,0.01394,0.01021
834,교통,0.00347,0.00196
835,교환,0.00716,0.03142
836,교황,0.00038,0.00118
837,교회,0.00505,0.00118
838,교훈,0.02178,0.01885
839,구간,0.00068,0
840,구겨지다,0.00188,0.00825
841,구경,0.00641,0.00471
842,구관,0.00038,0.00118
843,구구,0.00068,0.00196
844,구구절절,0.00294,0.00746
845,구기다,0.0049,0.02042
846,구김,0.00121,0.00196
847,구단,0.00068,0
848,구덩이,0.0006,0.00275
849,구도,0.00279,0.00825
850,구독,0.00437,0.00196
851,구두,0.00158,0.00118
852,구라,0.00143,0.00275
853,구려,0.00023,0.00196
854,구르,0.00113,0.00196
855,구르다,0.00234,0.00236
856,구름,0.00965,0.00864
857,구리,0.00121,0.00039
858,구리다,0.00377,0.00746
859,구림,0.00015,0.00236
860,구립,0.00038,0.00196
861,구매,0.55454,0.34204
862,구멍,0.00588,0.00393
863,구문,0.0006,0.00118
864,구미,0.00106,0.00079
865,구박,0.00053,0
866,구별,0.00294,0.00511
867,구병모,0.00626,0.00353
868,구부,0.00053,0
869,구분,0.00814,0.01649
870,구비,0.00234,0.00157
871,구사,0.00196,0.00353
872,구상,0.00136,0.00275
873,구석,0.01289,0.01021
874,구성,0.10651,0.11388
875,구속,0.00143,0
876,구스,0.00083,0
877,구슬,0.00219,0.00039
878,구식,0.0006,0.00118
879,구애,0.0009,0.00079
880,구약,0.0009,0.00157
881,구어,0.00113,0.00314
882,구여,0.0006,0.00039
883,구역,0.00045,0.00314
884,구용,0.00053,0
885,구원,0.00648,0.00511
886,구입,0.2559,0.18889
887,구절,0.01357,0.01924
888,구제,0.00106,0.00314
889,구조,0.01839,0.02592
890,구지,0.00015,0.00236
891,구체,0.02721,0.03181
892,구축,0.00166,0.00157
893,구판,0.00957,0.00589
894,구하다,0.02397,0.01767
895,구현,0.00317,0.00118
896,구호,0.00106,0.00196
897,국가,0.02156,0.02592
898,국경,0.00068,0.00157
899,국기,0.00354,0.00157
900,국내,0.02013,0.01532
901,국립,0.00083,0.00039
902,국면,0.00083,0.00118
903,국문,0.00045,0.00079
904,국민,0.01749,0.01217
905,국보,0.00166,0
906,국사,0.00799,0.0055
907,국산,0.00045,0.00157
908,국수,0.00196,0.00236
909,국시,0.00347,0
910,국어,0.01251,0.01257
911,국왕,0.00045,0.00039
912,국적,0.00106,0.00079
913,국정,0.00136,0.00196
